title,price,thumbnail_url,image_url,DP Type,Brand,Content,Type
Lulu Unda Matta 5Kg,INR 219.00,https://www.luluhypermarket.in/medias/1002515-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMjAwOXxpbWFnZS9qcGVnfGg0My9oMGQvODg3ODc3MTk5NDY1NC8xMDAyNTE1LTAxLmpwZ185Nld4OTZIfGM4YzBiN2UzMmUxM2NkMjdhMTBlZDdiMzRlZGU3MjkyZDhiYmFkMTdiNWIyNmZkZmVhNjcyZTQ2Y2NlMDAzMGE,https://www.luluhypermarket.in/medias/1002515-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wxMDQ3ODF8aW1hZ2UvanBlZ3xoNzcvaDQwLzg4Nzg3NzIxMjU3MjYvMTAwMjUxNS0wMS5qcGdfNTE1V3g1MTVIfDY5OTUyMDRiNDliNGJjYmNlZjQyZDRkZGRlMDUzOWU3MjJmYzQ2YTkyN2JjZjhkN2UxNDI5ZWQyNTQ0ZDJjMjU,5 kg,Grocery,Grocery,Boiled Rice
Grand Periyar Sortex Unda Rice 5Kg,INR 189.00,https://www.luluhypermarket.in/medias/1019097-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzNDQ3fGltYWdlL2pwZWd8aDVhL2gzYS84OTEzMDk4MDQ3NTE4LzEwMTkwOTctMDEuanBnXzk2V3g5Nkh8MWQ4ZjJhNWExNzliYmQxMzNiZDRjY2Y4ODQ1Y2E1Mzg5MzExNWI5OWMxOTQxYjcxODZjOGJjYzk0ZWNjYzRmNg,https://www.luluhypermarket.in/medias/1019097-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w0OTQyOHxpbWFnZS9qcGVnfGg5YS9oMzYvODkxMzA5ODE3ODU5MC8xMDE5MDk3LTAxLmpwZ181MTVXeDUxNUh8NGRiMzNjNDJmOWMwZmE4NGRkZjIzYjQzM2VkZGJhYmNiN2JmODY5OWQ4MjgxMWE2ZmE2OTJkMjhhMGQ4YzQxNQ,5kg,Grocery,Grocery,Boiled rice
Brahmins Nurukku Ari 500g,INR 45.00,https://www.luluhypermarket.in/medias/12091-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w4OTk5fGltYWdlL2pwZWd8aDdlL2gwZi84ODUwNjczMzM2MzUwLzEyMDkxLTAxLmpwZ185Nld4OTZIfDIyNTkwODM2NTgzNTNlMTg2M2E1YTA2NTRhNDcyNzlkMWQxMThhYmY0ZWFlYWY2OTBlYzVlN2Y2OGMwMTAxMWY,https://www.luluhypermarket.in/medias/12091-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w2OTYwNnxpbWFnZS9qcGVnfGhiZi9oMGIvODg1MDY3MzQ2NzQyMi8xMjA5MS0wMS5qcGdfNTE1V3g1MTVIfDA4ZDIyM2JjYjEzZDY2ZTc4NjE0YjcxNTE2YmFmNGY1MGI1ZTAyMjQ4ZmYxNzFkMzJhOTcxZTA5NDVhYzBhOTM,Indian Food,BRAHMINS,Grocery,500 Gm
Kohinoor Gold Basmati Rice 1kg,INR 199.00,https://www.luluhypermarket.in/medias/1246-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNzA1OXxpbWFnZS9qcGVnfGgwZS9oNjQvODc5ODI1MzgwOTY5NC8xMjQ2LTAxLmpwZ185Nld4OTZIfDhkZDFmMTBlYjdlZjFmOTkyNzU2MTAyNzczZmNhOGIyODM2NjE0ZjkzMzFiZWYxYzU5MDkyNzc0MjIzMzk5N2E,https://www.luluhypermarket.in/medias/1246-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w3ODY1MHxpbWFnZS9qcGVnfGgzYy9oNjAvODc5ODI1Mzk0MDc2Ni8xMjQ2LTAxLmpwZ181MTVXeDUxNUh8YTU1Y2ExYTRmNzg1MWYyNTg4ODcyOTQ0N2I1YWM0ZDM1NjJlY2NlMjFmOTdlYzVjNmJhNTAwMWI3YzY2OTE0Yg,Grocery,1 Kg,KOHINOOR,Basmati
Charminar Basmati Select Rice 1kg,INR 107.00,https://www.luluhypermarket.in/medias/1257-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxODQ4NnxpbWFnZS9qcGVnfGhkMC9oODkvODc5Nzg4NDU3OTg3MC8xMjU3LTAxLmpwZ185Nld4OTZIfDYzY2EwYjhjOWE5ZWU0NDIwOTJmOGYxNmFmZGZkMGE0NDI5YjI4YzViNmMwZjRiZTNjZDNhMWIyODEzNjUyYzI,https://www.luluhypermarket.in/medias/1257-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w5MjQwNHxpbWFnZS9qcGVnfGhhZS9oODMvODc5Nzg4NDcxMDk0Mi8xMjU3LTAxLmpwZ181MTVXeDUxNUh8NmMwOTQ0MWFmYjBiMTUxYzNiN2I5OTk1ODAzZjUzZWY0ZWI0NmMwNDMwOWVjNDViYTk5NzIyYTVhODJkYmUzMg,Grocery,1 Kg,CHARMINAR,Basmati
Maggi Veg Atta Noodles 80g,INR 19.00,https://www.luluhypermarket.in/medias/12760-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNzM5MnxpbWFnZS9qcGVnfGgxNS9oYjkvODg0OTQwNjk4NDIyMi8xMjc2MC0wMS5qcGdfOTZXeDk2SHwwYjQyOTQ0YzZkNWU5YjYxNWE3ZDhjMTdhMGU0OTBhNGZjNzIzZDUyYTMzY2IyNTI5MTk5ZTkxMjRjN2M3YzBj,https://www.luluhypermarket.in/medias/12760-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w4Mzc3OHxpbWFnZS9qcGVnfGg1YS9oNmIvODg0OTQwNzExNTI5NC8xMjc2MC0wMS5qcGdfNTE1V3g1MTVIfDcxOTRiOTk3MWMwNTBlYTQ3YzhhMDU4NTc0NDU2OTM5Yjc5NTAzNmEzZTA2OWQ4NzllYjRlYmY4ZjRhZGNhN2U,Instant Noodle,MAGGI,Grocery,80 Gm
Maggi Chicken Noodles 284g,INR 58.00,https://www.luluhypermarket.in/medias/12763-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTMxNHxpbWFnZS9qcGVnfGg3NS9oZTYvODg0OTU3ODYyMzAwNi8xMjc2My0wMS5qcGdfOTZXeDk2SHxhNGUwODNmYzAzYzI5MzQ5YWIxNzY3ZTU1MzQ4NWUwMWUzYjY1MGY1MWJjZWUxOWIxNDBlNWM4MTVhMDdiMzk1,https://www.luluhypermarket.in/medias/12763-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w1NTQ0NHxpbWFnZS9qcGVnfGgzNC9oZWEvODg0OTU3ODc1NDA3OC8xMjc2My0wMS5qcGdfNTE1V3g1MTVIfDU1NjQwM2JlMzMwMTUyZDVjZTg0NGQ0OGQ1ZTU2ZDQ3NzA5MTlkYjQxMTk1MTk4NWQxZjNjZTk1ZDg5NTFhNDE,Instant Noodle,MAGGI,Grocery,284 Gm
Maggi 2 Minute Noodles Masala 420g,INR 68.00,https://www.luluhypermarket.in/medias/12770-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTE4MHxpbWFnZS9qcGVnfGgyYy9oYzUvODg0OTU2NTA1NzA1NC8xMjc3MC0wMS5qcGdfOTZXeDk2SHwxN2M0MTdkNjY0MGJiMWEwMTU3Y2E5YjVjMTQwNzkzNmUzNmJkODdhNjBjYjQ1ODdmMDBlNGY5ZmM1MjMyOWE1,https://www.luluhypermarket.in/medias/12770-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w1NDg1MnxpbWFnZS9qcGVnfGhlYi9oYzgvODg0OTU2NTE4ODEyNi8xMjc3MC0wMS5qcGdfNTE1V3g1MTVIfDNiNzg5YjMxNWJmNjc4ZTlmNzBmODYwNzlhYzdmMGI5YWU3Y2EwMzYwY2Y2NzFjMzFjZDQ1MzUwMDFmYTE5NmQ,Instant Noodle,MAGGI,Grocery,420 Gm
Maggi 2 Minute Noodles Masala 280g,INR 46.00,https://www.luluhypermarket.in/medias/12771-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTMwNXxpbWFnZS9qcGVnfGg3Mi9oMWQvODg0OTQ3NDgxMzk4Mi8xMjc3MS0wMS5qcGdfOTZXeDk2SHxmYjBiOWYzZDdlNzI5NjA0NGMxODQ4MjgyMjc3NGU1MDI4NWNkYjIyZDM1ZDU2NWJkNzJmZGI0ZjUzM2Y2ZmFk,https://www.luluhypermarket.in/medias/12771-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w1NTA0N3xpbWFnZS9qcGVnfGgzMi9oMjEvODg0OTQ3NDk0NTA1NC8xMjc3MS0wMS5qcGdfNTE1V3g1MTVIfDYzOTdmMDM4ZjUwZjk1NjEzZWYwZWJhMzg1ZTMzYmZlNDUwZDUxMzU0MzFiOTQ1OTVjZjZhNDA5OGJlZmVjYmE,Instant Noodle,MAGGI,Grocery,280 Gm
Maggi 2 Minute Noodles Masala 70g,INR 12.00,https://www.luluhypermarket.in/medias/12773-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNTg0NXxpbWFnZS9qcGVnfGgxYS9oOTQvODg0OTM5Njk1NzIxNC8xMjc3My0wMS5qcGdfOTZXeDk2SHwwNGNkNzJlNWRkZjA1MTUyZTkxNGMwMTIzN2FlOTNiNTcwZjlkNTQ4NGRlN2EzNTc3MDkzOWFmZmFkOTRhNzlk,https://www.luluhypermarket.in/medias/12773-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w3MDIyOHxpbWFnZS9qcGVnfGhiMC9oNDgvODg0OTM5NzA4ODI4Ni8xMjc3My0wMS5qcGdfNTE1V3g1MTVIfGYxYjRlYzcwMTgwNzI5MjcwMGYyMmVjODJjOGE2NTk5MWRlNDdhYTRkNTBjZDMxNmQxODA3OGNjMGEwY2M2MmQ,Instant Noodle,MAGGI,Grocery,70 Gm
