title,address,description,date,seller,price,image
3 bedroom house for sale,"House 8, Nodia Mansions, 7 Heath Road, Thornton Heath, London, CR7","Nodia Mansions is an exclusive collection of 2 & 3 bedroom apartments and houses, within a gated development. Located in Thornton Heath, CR7.",10/05/2019,"Pedder, New Homes","£595,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62003/71604259/62003_DWR000402_IMG_29_0000_max_476x317.jpg
8 bedroom house for sale,"Buckingham Gate, St James's Park","Luxurious Grade II listed six-bedroom townhouse spanning 14,227 sq ft across seven floors. Benefits include an array of world-class amenities inlcuding underground parking, easy lift access, a bar, pool, gym, sauna, treatment room and a 24h Concierge.",15/11/2019,"The Cloister, London","£55,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/80809901/51305_5179_IMG_11_0000_max_476x317.jpg
16 bedroom property for sale,"Greybrook House, London, W1K","Investment Opportunity. A residential block with a total GIA of 14,500 sq ft, comprising of five completely refurbished apartments to a phenomenally high standard. ",19/09/2018,"Wetherell, London","£46,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/113k/112651/56677401/112651_201043S_IMG_15_0000_max_476x317.jpg
10 bedroom detached house for sale,"Merton Lane, London, N6","Exceptional Contemporary Mansion in Highgate Located on a sought after road and occupying a 2 acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stun...",23/10/2019,"Knight Frank, Hampstead","£40,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/74974474/65806_HAM130309_IMG_01_0001_max_476x317.jpg
10 bedroom detached house for sale,"Merton Lane, London, N6","Located on a sought-after road in the heart of Highgate and occupying a two-acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stunning home has a glass...",22/10/2019,"Sotheby's International Realty, London",POA,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/74956453/62080_NLD180216_IMG_01_0000_max_476x317.jpg
8 bedroom house for sale,"Wilton Crescent, Belgravia, London, SW1X","An impressive Grade II listed freehold house in the sought after address A substantial freehold house located in the heart of Belgravia, and moments from Hyde Park and the world renowned shops of Knightsbridge and Sloane Street. A fabulous 8 bedroom freehold house benefitting from an adjoining ...",12/11/2019,"Knight Frank, Belgravia, covering Westminster","£37,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/75466246/94745_BGV190072_IMG_01_0000_max_476x317.jpg
5 bedroom town house for sale,"Mayfair, London",Stunning property in Mayfair for private sale,yesterday,"Maritime Properties Ltd, Greenwich","£35,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66493/76254799/66493_101688002894_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"The Bishops Avenue, Hampstead, London, N2","Known as the ‘Billionaire’s Row’ of London, Barons Court is a stunning property, occupying some 2.55 acres (approximately) on the favored west side of the road.",23/08/2018,"Savills, Hampstead",POA,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48928/83474087/48928_STS150175_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Queen Anne's Gate, St James's Park","Arranged over three floors and offering in excess of 11480 square feet of immaculately presented and voluminous living space, this elegantly appointed six bedroom, seven bathroom family residence, with 24 hour porterage, is accessed via a private entrance and notably has sole use of and direct",16/10/2019,"The Cloister, London","£33,500,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/87587024/51305_5503_IMG_01_0000_max_476x317.jpg
60 bedroom house for sale,"Lexham Gardens, Kensington","A superb investment opportunity to acquire 60 room freehold hotel ideally situated in the heart of prestigious Kensington, widely recognised as one of London's finest addresses.",14/11/2019,"The Cloister, London","£33,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/87018029/51305_5598_IMG_03_0000_max_476x317.jpg
6 bedroom apartment for sale,"Wellington Court, Knightsbridge SW1X","Considered to be one of London`s most prestigious penthouse, directly opposite One Hyde Park, this outstanding apartment with direct lift access, comprises of six bedroom suites, spacious reception areas and multiple terraces with direct views overlooking Hyde Park.",27/03/2019,"Rokstone, London","£32,500,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176396/80460026/176396_1263_IMG_01_0000_max_476x317.jpg
8 bedroom house for sale,"Princes Gate, Knightsbridge","A handsome eight bedroom, four reception room Grade II listed stucco fronted house of magnificent proportion with lift and roof terrace, prestigiously situated in Knightsbridge.",15/07/2019,"The Cloister, London","£30,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/65591130/51305_750_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Phillimore Gardens, Kensington, London, W8",An elegant detached house overlooking Holland Park for sale in W8 A rarely available detached house with parking on the Phillimore Estate with west facing views over Holland Park. The house has substantial proportions offering impressive reception rooms and a sensible layout of accommodation wit...,22/01/2019,"Knight Frank, Kensington","£30,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65809/76905467/65809_KEN160118_IMG_01_0008_max_476x317.jpg
5 bedroom apartment for sale,"Eaton Square, Belgravia, London, SW1W",A unique opportunity to acquire a raised ground floor and garden apartment on the northern terrace of Eaton Square.,20/09/2015,"Savills, Sloane Street",POA,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48943/73061572/48943_SLF120060_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Phillimore Gardens, Kensington, London","A very special detached seven bedroom family house with off-street parking and a lovely south-west facing garden backing onto Holland Park. This impressive and wide house occupies approximately 6,520 sq ft and is very well arranged over five floors",22/01/2019,"Strutt & Parker, Kensington","£30,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54859/57755931/54859_CSD170419_IMG_01_0000_max_476x317.jpg
7 bedroom terraced house for sale,"Eaton Square, Belgravia, London, SW1W","Internally arranged over several floors, this property is a true family home comprised of five bedroom suites. With the ground and first floors dedicated entirely to entertaining, there is a large dining room, functional bar area, open plan kitchen and a bright first floor formal reception room. ...",15/03/2018,"Sotheby's International Realty, London",POA,https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/65527969/62080_LON180021_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"One Hyde Park, Knightsbridge",This truly exceptional apartment located in the most sought after location is now available. The grand property boasts magnificent views of both Knightsbridge and Hyde Park. One Hyde Park is offering luxury London living at it's absolute finest.,18/09/2019,"The Cloister, London","£30,000,000",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/84893990/51305_5399_IMG_01_0000_max_476x317.jpg
