title,address,description,price,date,seller,image
Studio apartment for sale,"Vardon Close, London, W3","SOLD BY ORCHARDS OF LONDON, SIMILAR PROPERTIES REQUIRED - Orchards of London are delighted to present to the market this fabulous studio situated in a popular residential area in North Acton. Presented in an amazing condition flooding with natural light the studio comprises of a spacious livin...","£235,000",10/01/2020,"Orchards Of London, Ealing",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/78k/77018/88212308/77018_14802095_IMG_01_0001_max_476x317.jpg
8 bedroom house for sale,"Buckingham Gate, St James's Park","Luxurious Grade II listed six-bedroom townhouse spanning 14,227 sq ft across seven floors. Benefits include an array of world-class amenities inlcuding underground parking, easy lift access, a bar, pool, gym, sauna, treatment room and a 24h Concierge.","£55,000,000",15/11/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/80809901/51305_5179_IMG_11_0000_max_476x317.jpg
5 bedroom apartment for sale,"Mayfair, London",Stunning 5 bedroom penthouse apartment in Mayfair for private sale,"£55,000,000",18/12/2019,"Maritime Properties Ltd, Greenwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66493/76254811/66493_101688002895_IMG_01_0000_max_476x317.jpg
10 bedroom detached house for sale,"Merton Lane, London, N6","Exceptional Contemporary Mansion in Highgate Located on a sought after road and occupying a 2 acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stun...","£40,000,000",23/10/2019,"Knight Frank, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65806/74974474/65806_HAM130309_IMG_01_0001_max_476x317.jpg
10 bedroom detached house for sale,"Merton Lane, London, N6","Located on a sought-after road in the heart of Highgate and occupying a two-acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stunning home has a glass...",POA,22/10/2019,"'s International Realty, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/63k/62080/74956453/62080_NLD180216_IMG_01_0000_max_476x317.jpg
8 bedroom house for sale,"Wilton Crescent, Belgravia, London, SW1X","An impressive Grade II listed freehold house in the sought after address A substantial freehold house located in the heart of Belgravia, and moments from Hyde Park and the world renowned shops of Knightsbridge and Sloane Street. A fabulous 8 bedroom freehold house benefitting from an adjoining ...","£37,000,000",12/11/2019,"Knight Frank, Belgravia, covering Westminster",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/95k/94745/75466246/94745_BGV190072_IMG_01_0000_max_476x317.jpg
5 bedroom town house for sale,"Mayfair, London",Stunning property in Mayfair for private sale,"£35,000,000",18/12/2019,"Maritime Properties Ltd, Greenwich",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/67k/66493/76254799/66493_101688002894_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"The Bishops Avenue, Hampstead, London, N2","Known as the ‘Billionaire’s Row’ of London, Barons Court is a stunning property, occupying some 2.55 acres (approximately) on the favored west side of the road.",POA,23/08/2018,"Savills, Hampstead",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/49k/48928/83474087/48928_STS150175_IMG_01_0000_max_476x317.jpg
6 bedroom terraced house for sale,"Cadogan Place, Belgravia, London, SW1X",A SPECTACULAR GRADE II LISTED HOUSE REFURBISHED AND INTERIOR DESIGNED TO A VERY HIGH STANDARD AND SPECIFICATION DIRECTLY OVERLOOKING CADOGAN PLACE GARDENS.,"£34,000,000",09/01/2020,"Savills, Knightsbridge",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/26k/25602/88192172/25602_KNH170031_IMG_01_0000_max_476x317.jpg
6 bedroom house for sale,"Queen Anne's Gate, St James's Park","Arranged over three floors and offering in excess of 11480 square feet of immaculately presented and voluminous living space, this elegantly appointed six bedroom, seven bathroom family residence, with 24 hour porterage, is accessed via a private entrance and notably has sole use of and direct","£33,500,000",16/10/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/87587024/51305_5503_IMG_14_0000_max_476x317.jpg
60 bedroom house for sale,"Lexham Gardens, Kensington","A superb investment opportunity to acquire 60 room freehold hotel ideally situated in the heart of prestigious Kensington, widely recognised as one of London's finest addresses.","£33,000,000",14/11/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/87018029/51305_5598_IMG_03_0000_max_476x317.jpg
6 bedroom apartment for sale,"Wellington Court, Knightsbridge SW1X","Considered to be one of London`s most prestigious penthouse, directly opposite One Hyde Park, this outstanding apartment with direct lift access, comprises of six bedroom suites, spacious reception areas and multiple terraces with direct views overlooking Hyde Park.","£32,500,000",27/03/2019,"Rokstone, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/177k/176396/80460026/176396_1263_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Phillimore Gardens, Kensington, London","A very special detached seven bedroom family house with off-street parking and a lovely south-west facing garden backing onto Holland Park. This impressive and wide house occupies approximately 6,520 sq ft and is very well arranged over five floors","£30,000,000",22/01/2019,"Strutt & Parker, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54859/57755931/54859_CSD170419_IMG_01_0000_max_476x317.jpg
7 bedroom detached house for sale,"Phillimore Gardens, Kensington, London, W8",An elegant detached house overlooking Holland Park for sale in W8 A rarely available detached house with parking on the Phillimore Estate with west facing views over Holland Park. The house has substantial proportions offering impressive reception rooms and a sensible layout of accommodation wit...,"£30,000,000",22/01/2019,"Knight Frank, Kensington",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65809/76905467/65809_KEN160118_IMG_01_0009_max_476x317.jpg
8 bedroom house for sale,"Knightsbridge, Knightsbridge","A handsome eight bedroom, four reception room Grade II listed stucco fronted house of magnificent proportion with lift and roof terrace, prestigiously situated in Knightsbridge.","£30,000,000",15/07/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/65591130/51305_750_IMG_01_0000_max_476x317.jpg
3 bedroom apartment for sale,"One Hyde Park, Knightsbridge",This truly exceptional apartment located in the most sought after location is now available. The grand property boasts magnificent views of both Knightsbridge and Hyde Park. One Hyde Park is offering luxury London living at it's absolute finest.,"£30,000,000",18/09/2019,"The Cloister, London",https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/52k/51305/84893990/51305_5399_IMG_01_0000_max_476x317.jpg
